what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1737663172542
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1737663172543
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1737663172543
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1737663172544
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1737663172545
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1737663172545
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1737663172546
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1737663172546
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1737663172548
os,sysinfo,,,"win32",1737663172550
arch,sysinfo,,,"x86",1737663172550
ws,sysinfo,,,"win32",1737663172550
locale,sysinfo,,,"en_US",1737663172550
processors,sysinfo,,,"12",1737663172550
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1737663172550
java.runtime.version,sysinfo,,,"1.8.0_45-b14",1737663172550
java.specification.name,sysinfo,,,"Java Platform API Specification",1737663172550
java.specification.vendor,sysinfo,,,"Oracle Corporation",1737663172550
java.specification.version,sysinfo,,,"1.8",1737663172550
java.vendor,sysinfo,,,"Oracle Corporation",1737663172550
java.version,sysinfo,,,"1.8.0_45",1737663172550
java.vm.info,sysinfo,,,"mixed mode",1737663172550
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1737663172550
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1737663172550
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1737663172550
java.vm.specification.version,sysinfo,,,"1.8",1737663172550
java.vm.vendor,sysinfo,,,"Oracle Corporation",1737663172550
java.vm.version,sysinfo,,,"25.45-b02",1737663172550
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1737663172597
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1737663172623
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1737663173204
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1737663173254
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1737663173286
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1737663173596
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1737663173608
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1737663173647
